Date,Time,P_left,P_right,P_pipe,Q_left,Q_right,Q_pipe,VolumeL,VolumeR,VolumePipe,Qw,Dens_recirc,Dens_pipe,DesignIdx,StagesIdx,Design_desiredDens,VolumeLR,VolumeW,QVSource,Q_Slurry,Design_desiredSlurry,Design_Qw,CementValveSetValRecomend,CementValveOut,CementValveSetValMaxUser,Auto,PressAlarmVal,ValveGain,WaterSPGR,DensCement,CriteryDensChange,Dens_calculate,Q_LR,StageCode,V_org,Q_L_,Q_R_,Q_LR_,Q_,V_L_,V_R_,V_LR_,V_
12/20/2024,16:38:24,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.17,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.17,-0.01
12/20/2024,16:38:25,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.21,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.21,-0.01
12/20/2024,16:38:26,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.24,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.24,-0.01
12/20/2024,16:38:27,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.24,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.24,-0.01
12/20/2024,16:38:28,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.32,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.32,-0.01
12/20/2024,16:38:29,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.32,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.32,-0.01
12/20/2024,16:38:30,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.39,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.39,-0.01
12/20/2024,16:38:31,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.43,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.43,-0.01
12/20/2024,16:38:32,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.47,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.47,-0.01
12/20/2024,16:38:33,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.47,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.47,-0.01
